id_XNOavEH6oG_?XG_HoNc!GfL1o	Adrian_Bryan-Brown	isMarriedTo	Joan_Marcus	after	1991	before	-
id_6HVUIKnBMD_?XG_mdmXnqH!0a	Adrian_(costume_designer)	isMarriedTo	Janet_Gaynor	after	1939	before	1959
id_YKBsXJTH8k_?XG_04bqCeDb?n	Adriane_Galisteu	isMarriedTo	Roberto_Justus	after	1998	before	1999
id_FGNw6kuvY2_?XG_oWezSHy3iC	Adrianne_Allen	isMarriedTo	Raymond_Massey	after	1929	before	1939
id_JKcxaPX!cV_?XG_KUJASED7g9	Adrian_Pasdar	isMarriedTo	Natalie_Maines	after	2000	before	-
id_TLyU330sVh_?XG_h!Kz!qeFOb	Adrienne_Ames	isMarriedTo	Bruce_Cabot	after	1933	before	1937
id_PKySnS0mg!_?XG_qdh?5sGSmH	Adrienne_Bailon	isMarriedTo	Israel_Houghton	after	2016	before	-
id_ufaMGoYIiu_?XG_yifSh9wnPs	Adrienne_Barbeau	isMarriedTo	Billy_Van_Zandt	after	1992	before	-
id_ufaMGoYIiu_?XG_IcbTPTyect	Adrienne_Barbeau	isMarriedTo	John_Carpenter	after	1979	before	-
id_yV4iKSfUwD_?XG_Li8SO0PXcN	Adrienne_Corri	isMarriedTo	Daniel_Massey_(actor)	after	1961	before	1967
id_8e9dbhUko?_?XG_vtvBtfN2qf	Adrienne_Ellis	isMarriedTo	Glen_Corbett	after	1966	before	1975
id_8e9dbhUko?_?XG_3!CbovIRIG	Adrienne_Ellis	isMarriedTo	Michael_Anderson_(director)	after	1977	before	-
id_AdEfY7XEYi_?XG_?sixHSrLZU	Adrienne_Frantz	isMarriedTo	Scott_Bailey_(actor)	after	2011	before	-
id_DIjn3nF1jP_?XG_OPDiUP2iCH	Adrienne_Maloof	isMarriedTo	Paul_Nassif	after	2002	before	2012
id_LPy3TzMy27_?XG_tQ1CHVjUJu	Ad-Rock	isMarriedTo	Kathleen_Hanna	after	2006	before	-
id_h39HCNyV7C_?XG_qHS0Os988N	Aelia_Eudoxia	isMarriedTo	Arcadius	after	395	before	-
id_8jZvK!bsWH_?XG_Kr?GcSJ5FJ	A._E._van_Vogt	isMarriedTo	Edna_Mayne_Hull	after	1939	before	1975
id_MdxA0ulRmR_?XG_unoCQkuTix	Afonso_V_of_Portugal	isMarriedTo	Joanna_la_Beltraneja	after	1450	before	1455
id_lIOU6r9GQ4_?XG_cmUz8dYShW	Agata_Kornhauser-Duda	isMarriedTo	Andrzej_Duda	after	1994	before	-
id_t8luZePf?G_?XG_WV5uXd8OlA	Agnes_Busby	isMarriedTo	James_Busby	after	1832	before	1871
id_!mE6eiiTg5_?XG_!5gC2vhDzR	Agnes_Keith,_Countess_of_Moray	isMarriedTo	James_Stewart,_1st_Earl_of_Moray	after	1562	before	1570
id_!mE6eiiTg5_?XG_WgZIAiZ?Bp	Agnes_Keith,_Countess_of_Moray	isMarriedTo	Colin_Campbell,_6th_Earl_of_Argyll	after	1572	before	1584
id_JU!Y!GBbDl_?XG_kpwkKXMas!	Agnes_Moorehead	isMarriedTo	Robert_Gist	after	1954	before	1958
id_9EzAIsRNJq_?XG_BLfuIfN3Zf	Agnès_Varda	isMarriedTo	Jacques_Demy	after	1962	before	1990
id_kBVGBCgyIL_?XG_yDdhu6mj6!	Agustina_Casas_Sere-Leguizamon	isMarriedTo	Robb_LaKritz	after	2016	before	-
id_DKydkK?xzY_?XG_K1UK!IByOA	Agyness_Deyn	isMarriedTo	Giovanni_Ribisi	after	2012	before	2015
id_HOczEtACQx_?XG_Que07JCbPP	Ahmed_Helmy	isMarriedTo	Mona_Zaki	after	2002	before	-
id_?0yx!USKF?_?XG_4VRiotMyWg	Ahmed_Osman_(politician)	isMarriedTo	Princess_Lalla_Nuzha_of_Morocco	after	1964	before	1977
id_7eFhR?x?EF_?XG_3boNTV5S3K	Aidan_Quinn	isMarriedTo	Elizabeth_Bracco	after	1987-09-01	before	-
id_htL9uxezaY_?XG_oJY?9?wYgj	Aiden_English	isMarriedTo	Raquel_Diaz	after	2016-01-03	before	-
id_jrOeDGkSiH_?XG_rmv4wA2lzB	Aija_Terauda	isMarriedTo	Derek_Estlin_Purvis	after	2013	before	-
